"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2020,8,"9E","Endeavor Air Inc.","ABY","Albany, GA: Southwest Georgia Regional",62.00,5.00,0.97,0.55,3.48,0.00,0.00,1.00,0.00,267.00,140.00,30.00,97.00,0.00,0.00,
2020,8,"9E","Endeavor Air Inc.","ACK","Nantucket, MA: Nantucket Memorial",14.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,103.00,0.00,0.00,0.00,0.00,103.00,
2020,8,"9E","Endeavor Air Inc.","AEX","Alexandria, LA: Alexandria International",62.00,9.00,6.81,0.63,0.68,0.00,0.88,3.00,0.00,1435.00,1290.00,41.00,53.00,0.00,51.00,
2020,8,"9E","Endeavor Air Inc.","AGS","Augusta, GA: Augusta Regional at Bush Field",129.00,4.00,2.00,0.95,1.05,0.00,0.00,2.00,0.00,149.00,67.00,62.00,20.00,0.00,0.00,
2020,8,"9E","Endeavor Air Inc.","ALB","Albany, NY: Albany International",93.00,4.00,2.00,0.00,1.00,0.00,1.00,1.00,0.00,98.00,42.00,0.00,20.00,0.00,36.00,
2020,8,"9E","Endeavor Air Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",4205.00,379.00,116.98,34.10,106.54,1.00,120.38,35.00,17.00,31710.00,14480.00,2677.00,5205.00,34.00,9314.00,
2020,8,"9E","Endeavor Air Inc.","ATW","Appleton, WI: Appleton International",186.00,7.00,5.68,0.00,1.32,0.00,0.00,1.00,0.00,575.00,465.00,0.00,110.00,0.00,0.00,
2020,8,"9E","Endeavor Air Inc.","AVL","Asheville, NC: Asheville Regional",85.00,5.00,0.49,1.00,2.51,0.00,1.00,2.00,0.00,234.00,33.00,38.00,112.00,0.00,51.00,
2020,8,"9E","Endeavor Air Inc.","BDL","Hartford, CT: Bradley International",124.00,8.00,5.06,0.00,2.29,0.00,0.65,2.00,0.00,382.00,282.00,0.00,45.00,0.00,55.00,
2020,8,"9E","Endeavor Air Inc.","BMI","Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",62.00,9.00,2.75,0.54,2.97,0.00,2.74,0.00,1.00,366.00,133.00,33.00,108.00,0.00,92.00,
2020,8,"9E","Endeavor Air Inc.","BNA","Nashville, TN: Nashville International",62.00,2.00,1.00,0.43,0.57,0.00,0.00,1.00,0.00,69.00,48.00,9.00,12.00,0.00,0.00,
2020,8,"9E","Endeavor Air Inc.","BQK","Brunswick, GA: Brunswick Golden Isles",62.00,6.00,3.03,1.00,1.22,0.00,0.75,0.00,0.00,407.00,270.00,48.00,41.00,0.00,48.00,
2020,8,"9E","Endeavor Air Inc.","BTR","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",93.00,9.00,5.00,0.00,4.00,0.00,0.00,3.00,0.00,767.00,650.00,0.00,117.00,0.00,0.00,
2020,8,"9E","Endeavor Air Inc.","BTV","Burlington, VT: Burlington International",93.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2020,8,"9E","Endeavor Air Inc.","BUF","Buffalo, NY: Buffalo Niagara International",93.00,7.00,3.27,0.00,1.73,0.00,2.00,0.00,0.00,447.00,247.00,0.00,43.00,0.00,157.00,
2020,8,"9E","Endeavor Air Inc.","BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",85.00,6.00,0.60,0.94,3.06,0.00,1.40,1.00,1.00,548.00,9.00,196.00,290.00,0.00,53.00,
2020,8,"9E","Endeavor Air Inc.","CAE","Columbia, SC: Columbia Metropolitan",178.00,12.00,5.53,0.62,3.56,0.00,2.29,1.00,0.00,851.00,433.00,21.00,155.00,0.00,242.00,
2020,8,"9E","Endeavor Air Inc.","CHA","Chattanooga, TN: Lovell Field",209.00,13.00,8.58,0.29,2.52,0.00,1.60,1.00,0.00,584.00,400.00,14.00,61.00,0.00,109.00,
2020,8,"9E","Endeavor Air Inc.","CHO","Charlottesville, VA: Charlottesville Albemarle",85.00,9.00,3.65,1.52,1.62,0.00,2.21,0.00,1.00,510.00,157.00,81.00,71.00,0.00,201.00,
2020,8,"9E","Endeavor Air Inc.","CHS","Charleston, SC: Charleston AFB/International",15.00,3.00,1.88,0.00,1.13,0.00,0.00,0.00,0.00,109.00,79.00,0.00,30.00,0.00,0.00,
2020,8,"9E","Endeavor Air Inc.","CID","Cedar Rapids/Iowa City, IA: The Eastern Iowa",93.00,5.00,1.96,2.57,0.43,0.00,0.04,1.00,0.00,251.00,134.00,96.00,20.00,0.00,1.00,
2020,8,"9E","Endeavor Air Inc.","CLE","Cleveland, OH: Cleveland-Hopkins International",240.00,9.00,5.02,2.51,0.49,0.00,0.98,0.00,0.00,679.00,438.00,129.00,15.00,0.00,97.00,
2020,8,"9E","Endeavor Air Inc.","CLT","Charlotte, NC: Charlotte Douglas International",155.00,8.00,5.24,1.00,1.76,0.00,0.00,0.00,0.00,430.00,324.00,17.00,89.00,0.00,0.00,
2020,8,"9E","Endeavor Air Inc.","CMH","Columbus, OH: John Glenn Columbus International",58.00,3.00,0.85,0.00,2.15,0.00,0.00,1.00,0.00,98.00,33.00,0.00,65.00,0.00,0.00,
2020,8,"9E","Endeavor Air Inc.","CRW","Charleston/Dunbar, WV: Yeager",85.00,9.00,4.77,0.43,1.91,0.00,1.88,0.00,0.00,371.00,184.00,25.00,87.00,0.00,75.00,
2020,8,"9E","Endeavor Air Inc.","CSG","Columbus, GA: Columbus Airport",93.00,3.00,1.59,0.70,0.71,0.00,0.00,1.00,1.00,123.00,60.00,28.00,35.00,0.00,0.00,
2020,8,"9E","Endeavor Air Inc.","CVG","Cincinnati, OH: Cincinnati/Northern Kentucky International",281.00,18.00,8.62,1.08,5.19,0.00,3.11,5.00,0.00,637.00,377.00,37.00,139.00,0.00,84.00,
2020,8,"9E","Endeavor Air Inc.","CWA","Mosinee, WI: Central Wisconsin",93.00,10.00,4.46,0.00,3.56,0.00,1.98,0.00,0.00,388.00,237.00,0.00,89.00,0.00,62.00,
2020,8,"9E","Endeavor Air Inc.","DAY","Dayton, OH: James M Cox/Dayton International",85.00,7.00,2.21,1.65,2.55,0.00,0.58,0.00,0.00,273.00,133.00,50.00,79.00,0.00,11.00,
2020,8,"9E","Endeavor Air Inc.","DHN","Dothan, AL: Dothan Regional",62.00,12.00,4.27,0.00,4.44,0.00,3.29,0.00,0.00,651.00,282.00,0.00,164.00,0.00,205.00,
2020,8,"9E","Endeavor Air Inc.","DLH","Duluth, MN: Duluth International",93.00,6.00,4.00,0.00,1.00,0.00,1.00,0.00,0.00,233.00,133.00,0.00,17.00,0.00,83.00,
2020,8,"9E","Endeavor Air Inc.","DSM","Des Moines, IA: Des Moines International",271.00,22.00,8.47,4.03,6.72,0.00,2.78,1.00,0.00,2059.00,811.00,767.00,196.00,0.00,285.00,
2020,8,"9E","Endeavor Air Inc.","DTW","Detroit, MI: Detroit Metro Wayne County",2481.00,139.00,47.53,9.15,28.41,0.34,53.57,19.00,0.00,12287.00,6661.00,401.00,847.00,14.00,4364.00,
2020,8,"9E","Endeavor Air Inc.","ELM","Elmira/Corning, NY: Elmira/Corning Regional",58.00,2.00,0.78,0.00,0.22,0.00,1.00,0.00,0.00,224.00,21.00,0.00,6.00,0.00,197.00,
2020,8,"9E","Endeavor Air Inc.","EVV","Evansville, IN: Evansville Regional",85.00,6.00,1.33,0.00,3.00,0.00,1.67,1.00,0.00,364.00,68.00,0.00,71.00,0.00,225.00,
2020,8,"9E","Endeavor Air Inc.","EWR","Newark, NJ: Newark Liberty International",155.00,10.00,4.00,0.40,4.92,0.00,0.68,6.00,0.00,499.00,294.00,8.00,176.00,0.00,21.00,
2020,8,"9E","Endeavor Air Inc.","FAR","Fargo, ND: Hector International",31.00,2.00,0.00,0.00,2.00,0.00,0.00,1.00,0.00,40.00,0.00,0.00,40.00,0.00,0.00,
2020,8,"9E","Endeavor Air Inc.","FAY","Fayetteville, NC: Fayetteville Regional/Grannis Field",124.00,15.00,4.00,3.23,4.03,0.00,3.74,2.00,0.00,1473.00,268.00,680.00,155.00,0.00,370.00,
2020,8,"9E","Endeavor Air Inc.","FSD","Sioux Falls, SD: Joe Foss Field",147.00,7.00,1.00,3.60,0.40,0.00,2.00,1.00,0.00,413.00,23.00,214.00,16.00,0.00,160.00,
2020,8,"9E","Endeavor Air Inc.","FWA","Fort Wayne, IN: Fort Wayne International",93.00,12.00,5.55,1.91,3.83,0.00,0.71,0.00,0.00,490.00,303.00,70.00,95.00,0.00,22.00,
2020,8,"9E","Endeavor Air Inc.","GNV","Gainesville, FL: Gainesville Regional",116.00,12.00,5.50,0.00,3.50,0.00,3.00,0.00,1.00,1101.00,781.00,0.00,61.00,0.00,259.00,
2020,8,"9E","Endeavor Air Inc.","GPT","Gulfport/Biloxi, MS: Gulfport-Biloxi International",116.00,13.00,1.11,0.00,5.99,0.00,5.90,0.00,0.00,613.00,21.00,0.00,218.00,0.00,374.00,
2020,8,"9E","Endeavor Air Inc.","GRB","Green Bay, WI: Green Bay Austin Straubel International",119.00,10.00,1.45,0.00,5.56,0.00,2.99,1.00,0.00,434.00,76.00,0.00,227.00,0.00,131.00,
2020,8,"9E","Endeavor Air Inc.","GRR","Grand Rapids, MI: Gerald R. Ford International",31.00,2.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,43.00,0.00,0.00,17.00,0.00,26.00,
2020,8,"9E","Endeavor Air Inc.","GTR","Columbus, MS: Golden Triangle Regional",62.00,8.00,2.11,1.61,3.39,0.00,0.89,0.00,0.00,498.00,135.00,119.00,104.00,0.00,140.00,
2020,8,"9E","Endeavor Air Inc.","HSV","Huntsville, AL: Huntsville International-Carl T Jones Field",178.00,13.00,5.05,0.58,4.38,0.00,2.99,2.00,0.00,400.00,133.00,25.00,151.00,0.00,91.00,
2020,8,"9E","Endeavor Air Inc.","IAD","Washington, DC: Washington Dulles International",248.00,14.00,4.98,0.62,6.40,0.00,2.00,2.00,0.00,795.00,361.00,18.00,196.00,0.00,220.00,
2020,8,"9E","Endeavor Air Inc.","ICT","Wichita, KS: Wichita Dwight D Eisenhower National",62.00,4.00,0.00,0.00,3.00,0.00,1.00,1.00,0.00,192.00,0.00,0.00,159.00,0.00,33.00,
2020,8,"9E","Endeavor Air Inc.","ILM","Wilmington, NC: Wilmington International",116.00,8.00,2.80,1.68,2.69,0.00,0.83,1.00,0.00,890.00,172.00,567.00,81.00,0.00,70.00,
2020,8,"9E","Endeavor Air Inc.","IND","Indianapolis, IN: Indianapolis International",152.00,12.00,4.38,2.74,3.89,0.00,1.00,1.00,0.00,765.00,301.00,143.00,129.00,0.00,192.00,
2020,8,"9E","Endeavor Air Inc.","JAN","Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",85.00,13.00,5.05,0.00,3.98,0.00,3.97,0.00,1.00,720.00,287.00,0.00,90.00,0.00,343.00,
2020,8,"9E","Endeavor Air Inc.","JFK","New York, NY: John F. Kennedy International",247.00,14.00,5.59,0.00,3.30,0.00,5.11,7.00,0.00,917.00,495.00,0.00,108.00,0.00,314.00,
2020,8,"9E","Endeavor Air Inc.","LAN","Lansing, MI: Capital Region International",31.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2020,8,"9E","Endeavor Air Inc.","LEX","Lexington, KY: Blue Grass",240.00,18.00,9.77,1.00,6.08,0.00,1.16,1.00,0.00,954.00,606.00,147.00,164.00,0.00,37.00,
2020,8,"9E","Endeavor Air Inc.","LFT","Lafayette, LA: Lafayette Regional Paul Fournet Field",93.00,12.00,4.85,0.98,3.26,0.00,2.91,1.00,0.00,827.00,250.00,148.00,124.00,0.00,305.00,
2020,8,"9E","Endeavor Air Inc.","LGA","New York, NY: LaGuardia",139.00,6.00,2.20,0.00,1.00,0.00,2.80,5.00,0.00,862.00,443.00,0.00,19.00,0.00,400.00,
2020,8,"9E","Endeavor Air Inc.","MCI","Kansas City, MO: Kansas City International",,,,,,,,,,,,,,,,
2020,8,"9E","Endeavor Air Inc.","MDT","Harrisburg, PA: Harrisburg International",31.00,3.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00,86.00,0.00,0.00,86.00,0.00,0.00,
2020,8,"9E","Endeavor Air Inc.","MEM","Memphis, TN: Memphis International",62.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,21.00,21.00,0.00,0.00,0.00,0.00,
2020,8,"9E","Endeavor Air Inc.","MGM","Montgomery, AL: Montgomery Regional",124.00,12.00,3.34,1.00,2.46,0.00,5.20,1.00,0.00,1083.00,567.00,34.00,64.00,0.00,418.00,
2020,8,"9E","Endeavor Air Inc.","MLI","Moline, IL: Quad City International",62.00,12.00,5.23,1.66,3.68,0.00,1.42,0.00,0.00,629.00,202.00,103.00,156.00,0.00,168.00,
2020,8,"9E","Endeavor Air Inc.","MLU","Monroe, LA: Monroe Regional",93.00,13.00,3.73,0.93,6.70,0.00,1.63,4.00,1.00,1420.00,945.00,222.00,188.00,0.00,65.00,
2020,8,"9E","Endeavor Air Inc.","MOB","Mobile, AL: Mobile Regional",124.00,5.00,1.43,1.43,2.14,0.00,0.00,1.00,0.00,280.00,74.00,133.00,73.00,0.00,0.00,
2020,8,"9E","Endeavor Air Inc.","MSN","Madison, WI: Dane County Regional-Truax Field",124.00,5.00,1.41,1.01,2.57,0.00,0.01,2.00,0.00,257.00,37.00,107.00,112.00,0.00,1.00,
2020,8,"9E","Endeavor Air Inc.","MSP","Minneapolis, MN: Minneapolis-St Paul International",1879.00,106.00,47.34,4.80,29.28,0.00,24.58,21.00,0.00,8532.00,5477.00,533.00,1002.00,0.00,1520.00,
2020,8,"9E","Endeavor Air Inc.","MYR","Myrtle Beach, SC: Myrtle Beach International",31.00,4.00,1.83,0.61,0.70,0.00,0.86,1.00,0.00,142.00,58.00,22.00,24.00,0.00,38.00,
2020,8,"9E","Endeavor Air Inc.","OAJ","Jacksonville/Camp Lejeune, NC: Albert J Ellis",124.00,11.00,4.05,0.59,2.88,1.00,2.48,2.00,0.00,562.00,268.00,19.00,97.00,30.00,148.00,
2020,8,"9E","Endeavor Air Inc.","OMA","Omaha, NE: Eppley Airfield",62.00,4.00,2.90,0.00,1.10,0.00,0.00,1.00,0.00,86.00,67.00,0.00,19.00,0.00,0.00,
2020,8,"9E","Endeavor Air Inc.","ORD","Chicago, IL: Chicago O'Hare International",93.00,6.00,1.00,1.59,3.41,0.00,0.00,5.00,0.00,288.00,48.00,105.00,135.00,0.00,0.00,
2020,8,"9E","Endeavor Air Inc.","ORF","Norfolk, VA: Norfolk International",93.00,10.00,8.00,0.00,1.30,0.00,0.70,1.00,1.00,424.00,354.00,0.00,39.00,0.00,31.00,
2020,8,"9E","Endeavor Air Inc.","ORH","Worcester, MA: Worcester Regional",31.00,4.00,3.00,0.00,1.00,0.00,0.00,0.00,1.00,116.00,96.00,0.00,20.00,0.00,0.00,
2020,8,"9E","Endeavor Air Inc.","PHL","Philadelphia, PA: Philadelphia International",178.00,11.00,4.51,1.96,2.78,0.00,1.76,6.00,0.00,795.00,225.00,241.00,209.00,0.00,120.00,
2020,8,"9E","Endeavor Air Inc.","PIT","Pittsburgh, PA: Pittsburgh International",149.00,5.00,1.32,1.00,0.73,0.00,1.95,1.00,0.00,349.00,116.00,26.00,35.00,0.00,172.00,
2020,8,"9E","Endeavor Air Inc.","PWM","Portland, ME: Portland International Jetport",62.00,7.00,3.42,0.00,2.63,0.00,0.95,0.00,0.00,286.00,166.00,0.00,101.00,0.00,19.00,
2020,8,"9E","Endeavor Air Inc.","RDU","Raleigh/Durham, NC: Raleigh-Durham International",248.00,13.00,4.93,0.98,5.02,0.00,2.07,2.00,0.00,800.00,373.00,114.00,123.00,0.00,190.00,
2020,8,"9E","Endeavor Air Inc.","RIC","Richmond, VA: Richmond International",62.00,4.00,2.86,0.00,0.14,0.00,1.00,1.00,0.00,549.00,447.00,0.00,16.00,0.00,86.00,
2020,8,"9E","Endeavor Air Inc.","ROA","Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field",85.00,7.00,3.02,0.67,2.43,0.00,0.89,0.00,0.00,464.00,296.00,22.00,88.00,0.00,58.00,
2020,8,"9E","Endeavor Air Inc.","ROC","Rochester, NY: Greater Rochester International",93.00,3.00,1.00,0.92,0.08,0.00,1.00,0.00,0.00,247.00,193.00,35.00,3.00,0.00,16.00,
2020,8,"9E","Endeavor Air Inc.","RST","Rochester, MN: Rochester International",62.00,5.00,3.00,1.25,0.75,0.00,0.00,0.00,0.00,237.00,108.00,44.00,85.00,0.00,0.00,
2020,8,"9E","Endeavor Air Inc.","SAV","Savannah, GA: Savannah/Hilton Head International",15.00,3.00,2.79,0.00,0.00,0.00,0.21,0.00,0.00,82.00,77.00,0.00,0.00,0.00,5.00,
2020,8,"9E","Endeavor Air Inc.","SBN","South Bend, IN: South Bend International",62.00,6.00,2.95,0.75,1.30,0.00,1.00,0.00,0.00,386.00,122.00,52.00,83.00,0.00,129.00,
2020,8,"9E","Endeavor Air Inc.","SDF","Louisville, KY: Louisville Muhammad Ali International",31.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,102.00,24.00,0.00,78.00,0.00,0.00,
2020,8,"9E","Endeavor Air Inc.","SGF","Springfield, MO: Springfield-Branson National",93.00,5.00,2.56,0.00,1.44,0.00,1.00,1.00,0.00,205.00,101.00,0.00,65.00,0.00,39.00,
2020,8,"9E","Endeavor Air Inc.","SHV","Shreveport, LA: Shreveport Regional",116.00,14.00,3.61,1.91,8.09,0.00,0.39,1.00,0.00,737.00,339.00,141.00,209.00,0.00,48.00,
2020,8,"9E","Endeavor Air Inc.","STL","St. Louis, MO: St Louis Lambert International",124.00,7.00,2.47,1.77,1.79,0.00,0.97,0.00,0.00,280.00,95.00,79.00,75.00,0.00,31.00,
2020,8,"9E","Endeavor Air Inc.","SYR","Syracuse, NY: Syracuse Hancock International",93.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,138.00,138.00,0.00,0.00,0.00,0.00,
2020,8,"9E","Endeavor Air Inc.","TLH","Tallahassee, FL: Tallahassee International",93.00,7.00,2.40,0.68,3.40,0.00,0.52,0.00,0.00,416.00,269.00,15.00,79.00,0.00,53.00,
2020,8,"9E","Endeavor Air Inc.","TRI","Bristol/Johnson City/Kingsport, TN: Tri Cities",124.00,8.00,4.92,0.00,2.00,0.00,1.08,0.00,0.00,555.00,422.00,0.00,67.00,0.00,66.00,
2020,8,"9E","Endeavor Air Inc.","TVC","Traverse City, MI: Cherry Capital",31.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,167.00,0.00,0.00,0.00,0.00,167.00,
2020,8,"9E","Endeavor Air Inc.","TYS","Knoxville, TN: McGhee Tyson",275.00,19.00,7.98,1.93,7.14,0.00,1.94,1.00,0.00,900.00,453.00,99.00,190.00,0.00,158.00,
2020,8,"9E","Endeavor Air Inc.","VLD","Valdosta, GA: Valdosta Regional",62.00,5.00,0.00,0.00,4.00,0.00,1.00,0.00,0.00,213.00,0.00,0.00,117.00,0.00,96.00,
2020,8,"9E","Endeavor Air Inc.","XNA","Fayetteville, AR: Northwest Arkansas Regional",93.00,9.00,4.84,0.00,3.28,0.00,0.89,0.00,0.00,522.00,429.00,0.00,62.00,0.00,31.00,
2020,8,"AA","American Airlines Inc.","ABQ","Albuquerque, NM: Albuquerque International Sunport",147.00,22.00,9.76,0.11,7.29,0.00,4.84,1.00,0.00,1084.00,627.00,5.00,177.00,0.00,275.00,
2020,8,"AA","American Airlines Inc.","ALB","Albany, NY: Albany International",44.00,4.00,2.96,0.00,1.04,0.00,0.00,0.00,0.00,162.00,133.00,0.00,29.00,0.00,0.00,
2020,8,"AA","American Airlines Inc.","ANC","Anchorage, AK: Ted Stevens Anchorage International",62.00,5.00,2.77,0.00,2.23,0.00,0.00,0.00,1.00,315.00,188.00,0.00,127.00,0.00,0.00,
2020,8,"AA","American Airlines Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",485.00,55.00,20.53,6.27,22.20,1.00,5.00,1.00,0.00,2903.00,961.00,329.00,875.00,51.00,687.00,
2020,8,"AA","American Airlines Inc.","AUS","Austin, TX: Austin - Bergstrom International",507.00,47.00,24.81,0.19,18.32,0.00,3.69,1.00,3.00,1630.00,962.00,3.00,493.00,0.00,172.00,
2020,8,"AA","American Airlines Inc.","BDL","Hartford, CT: Bradley International",163.00,13.00,3.48,2.03,5.80,0.00,1.69,1.00,1.00,465.00,135.00,91.00,186.00,0.00,53.00,
2020,8,"AA","American Airlines Inc.","BNA","Nashville, TN: Nashville International",425.00,44.00,17.14,4.92,15.22,0.34,6.37,1.00,1.00,2238.00,750.00,345.00,573.00,20.00,550.00,
2020,8,"AA","American Airlines Inc.","BOI","Boise, ID: Boise Air Terminal",124.00,16.00,10.25,0.00,3.54,0.00,2.21,1.00,0.00,628.00,391.00,0.00,112.00,0.00,125.00,
2020,8,"AA","American Airlines Inc.","BOS","Boston, MA: Logan International",949.00,49.00,20.36,6.93,15.93,0.00,5.78,6.00,3.00,2535.00,1193.00,385.00,519.00,0.00,438.00,
2020,8,"AA","American Airlines Inc.","BUF","Buffalo, NY: Buffalo Niagara International",71.00,7.00,0.18,0.00,4.36,0.00,2.46,0.00,0.00,323.00,23.00,0.00,144.00,0.00,156.00,
2020,8,"AA","American Airlines Inc.","BUR","Burbank, CA: Bob Hope",47.00,10.00,5.36,0.00,3.20,0.00,1.44,0.00,0.00,444.00,223.00,0.00,157.00,0.00,64.00,
2020,8,"AA","American Airlines Inc.","BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",273.00,35.00,13.43,6.42,10.09,0.65,4.40,0.00,0.00,1453.00,705.00,193.00,330.00,32.00,193.00,
2020,8,"AA","American Airlines Inc.","BZN","Bozeman, MT: Bozeman Yellowstone International",79.00,4.00,2.67,0.00,1.33,0.00,0.00,0.00,0.00,231.00,172.00,0.00,59.00,0.00,0.00,
2020,8,"AA","American Airlines Inc.","CAE","Columbia, SC: Columbia Metropolitan",52.00,13.00,7.77,0.39,3.97,0.00,0.87,0.00,0.00,651.00,339.00,58.00,236.00,0.00,18.00,
2020,8,"AA","American Airlines Inc.","CHS","Charleston, SC: Charleston AFB/International",115.00,14.00,2.35,2.07,6.74,0.00,2.85,0.00,1.00,704.00,161.00,136.00,299.00,0.00,108.00,
2020,8,"AA","American Airlines Inc.","CLE","Cleveland, OH: Cleveland-Hopkins International",150.00,11.00,6.03,0.00,3.63,0.00,1.33,1.00,0.00,547.00,276.00,0.00,111.00,0.00,160.00,
2020,8,"AA","American Airlines Inc.","CLT","Charlotte, NC: Charlotte Douglas International",5802.00,512.00,156.19,32.39,235.02,5.94,82.46,14.00,10.00,30159.00,11704.00,2948.00,8547.00,267.00,6693.00,
2020,8,"AA","American Airlines Inc.","CMH","Columbus, OH: John Glenn Columbus International",103.00,14.00,6.89,0.00,4.17,0.00,2.94,1.00,0.00,1154.00,528.00,0.00,418.00,0.00,208.00,
2020,8,"AA","American Airlines Inc.","COS","Colorado Springs, CO: City of Colorado Springs Municipal",139.00,15.00,8.38,0.00,3.45,0.00,3.17,1.00,1.00,648.00,345.00,0.00,76.00,0.00,227.00,
2020,8,"AA","American Airlines Inc.","CVG","Cincinnati, OH: Cincinnati/Northern Kentucky International",47.00,6.00,2.76,0.87,1.38,0.00,0.99,0.00,0.00,603.00,74.00,254.00,66.00,0.00,209.00,
2020,8,"AA","American Airlines Inc.","DAB","Daytona Beach, FL: Daytona Beach International",23.00,3.00,0.70,0.00,1.00,0.00,1.30,0.00,0.00,167.00,40.00,0.00,43.00,0.00,84.00,
2020,8,"AA","American Airlines Inc.","DCA","Washington, DC: Ronald Reagan Washington National",1020.00,62.00,24.25,7.24,22.95,0.26,7.29,13.00,1.00,2706.00,1244.00,306.00,682.00,18.00,456.00,
2020,8,"AA","American Airlines Inc.","DEN","Denver, CO: Denver International",638.00,54.00,19.21,6.34,20.03,0.00,8.41,1.00,2.00,3099.00,1206.00,357.00,919.00,0.00,617.00,
2020,8,"AA","American Airlines Inc.","DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",9869.00,1028.00,282.34,65.30,470.73,9.60,200.03,56.00,62.00,63472.00,23936.00,7626.00,14632.00,324.00,16954.00,
2020,8,"AA","American Airlines Inc.","DSM","Des Moines, IA: Des Moines International",108.00,15.00,6.77,0.00,6.41,0.05,1.78,0.00,0.00,702.00,358.00,0.00,190.00,1.00,153.00,
2020,8,"AA","American Airlines Inc.","DTW","Detroit, MI: Detroit Metro Wayne County",261.00,27.00,13.05,2.00,8.11,1.70,2.15,1.00,2.00,1047.00,494.00,124.00,229.00,37.00,163.00,
2020,8,"AA","American Airlines Inc.","EGE","Eagle, CO: Eagle County Regional",35.00,6.00,2.65,0.00,3.35,0.00,0.00,0.00,1.00,161.00,67.00,0.00,94.00,0.00,0.00,
2020,8,"AA","American Airlines Inc.","ELP","El Paso, TX: El Paso International",53.00,4.00,3.86,0.00,0.14,0.00,0.00,0.00,0.00,171.00,157.00,0.00,14.00,0.00,0.00,
2020,8,"AA","American Airlines Inc.","EWR","Newark, NJ: Newark Liberty International",379.00,36.00,9.34,2.69,18.63,0.03,5.30,7.00,0.00,1963.00,648.00,126.00,794.00,1.00,394.00,
2020,8,"AA","American Airlines Inc.","EYW","Key West, FL: Key West International",31.00,3.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,322.00,293.00,0.00,29.00,0.00,0.00,
2020,8,"AA","American Airlines Inc.","FAT","Fresno, CA: Fresno Yosemite International",85.00,5.00,1.47,0.00,2.53,0.00,1.00,0.00,0.00,212.00,54.00,0.00,132.00,0.00,26.00,
2020,8,"AA","American Airlines Inc.","FCA","Kalispell, MT: Glacier Park International",67.00,4.00,2.62,0.00,0.38,0.00,1.00,0.00,0.00,318.00,233.00,0.00,17.00,0.00,68.00,
2020,8,"AA","American Airlines Inc.","FLL","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",399.00,40.00,10.13,6.65,18.06,1.00,4.16,1.00,0.00,1729.00,540.00,252.00,592.00,22.00,323.00,
2020,8,"AA","American Airlines Inc.","GEG","Spokane, WA: Spokane International",63.00,8.00,4.19,0.00,2.76,0.00,1.05,0.00,0.00,468.00,280.00,0.00,82.00,0.00,106.00,
2020,8,"AA","American Airlines Inc.","GRR","Grand Rapids, MI: Gerald R. Ford International",62.00,6.00,3.38,0.54,1.97,0.00,0.11,0.00,0.00,382.00,115.00,105.00,141.00,0.00,21.00,
2020,8,"AA","American Airlines Inc.","GSP","Greer, SC: Greenville-Spartanburg International",54.00,8.00,5.04,0.39,1.31,0.00,1.26,0.00,0.00,533.00,228.00,66.00,127.00,0.00,112.00,
2020,8,"AA","American Airlines Inc.","HNL","Honolulu, HI: Daniel K Inouye International",62.00,8.00,6.40,0.00,1.60,0.00,0.00,0.00,0.00,453.00,420.00,0.00,33.00,0.00,0.00,
2020,8,"AA","American Airlines Inc.","IAD","Washington, DC: Washington Dulles International",31.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,47.00,47.00,0.00,0.00,0.00,0.00,
2020,8,"AA","American Airlines Inc.","IAH","Houston, TX: George Bush Intercontinental/Houston",348.00,51.00,23.18,3.06,18.80,0.00,5.96,2.00,1.00,2780.00,1379.00,110.00,726.00,0.00,565.00,
2020,8,"AA","American Airlines Inc.","ILM","Wilmington, NC: Wilmington International",54.00,3.00,1.00,0.93,1.07,0.00,0.00,1.00,0.00,107.00,20.00,65.00,22.00,0.00,0.00,
